,dec_date,ex_date,rec_date,pay_date,dvd_amt,dvd_freq,dvd_type
VOD US Equity,1999-09-07,1999-10-04,1999-09-30,1999-10-01,5.0,,Stock Split
VOD US Equity,1994-07-01,1994-07-25,1994-07-08,1994-07-22,3.0,,Stock Split
WPP US Equity,1999-11-15,1999-11-16,1999-11-15,1999-11-18,2.0,,Stock Split
WPP US Equity,1995-11-10,1995-11-13,1995-11-10,1995-11-10,0.2,,Stock Split
MT US Equity,2017-05-12,2017-05-22,,,0.333333,,Stock Split
STM US Equity,2000-04-26,2000-05-09,2000-05-05,2000-05-08,3.0,,Stock Split
STM US Equity,1999-06-01,1999-06-18,1999-06-16,1999-06-17,2.0,,Stock Split
BIDU US Equity,2010-04-29,2010-05-12,2010-05-10,2010-05-11,10.0,,Stock Split
TCOM US Equity,2015-11-20,2015-12-02,2015-11-30,2015-12-01,2.0,,Stock Split
TCOM US Equity,2010-01-11,2010-01-21,2010-01-19,2010-01-20,2.0,,Stock Split
TCOM US Equity,2007-07-16,2007-07-31,2007-07-27,2007-07-30,2.0,,Stock Split
TCOM US Equity,2006-03-31,2006-04-11,2006-04-07,2006-04-10,2.0,,Stock Split
NTES US Equity,2006-03-14,2006-03-28,2006-03-24,2006-03-27,4.0,,Stock Split
EDU US Equity,2022-03-29,2022-04-08,,,0.1,,Stock Split
EDU US Equity,2011-07-21,2011-08-19,2011-08-17,2011-08-18,4.0,,Stock Split
EWJ US Equity,2016-10-24,2016-11-07,,,0.25,,Stock Split
EWU US Equity,2016-10-24,2016-11-07,,,0.5,,Stock Split
EEM US Equity,2008-07-11,2008-07-24,2008-07-21,2008-07-23,3.0,,Stock Split
EEM US Equity,2005-05-25,2005-06-09,2005-06-06,2005-06-08,3.0,,Stock Split
PPH US Equity,2012-01-30,2012-02-14,2012-02-10,2012-02-13,2.0,,Stock Split
XLE US Equity,2025-11-20,2025-12-05,2025-12-02,2025-12-04,2.0,,Stock Split
XLY US Equity,2025-11-20,2025-12-05,2025-12-02,2025-12-04,2.0,,Stock Split
PICK US Equity,2016-10-24,2016-11-07,,,0.5,,Stock Split
IHI US Equity,2021-06-21,2021-07-19,2021-07-14,2021-07-16,6.0,,Stock Split
