id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,ratio,price_usd
SAP CN Equity,76832.0,ETF,2112226,Saputo Inc,2025-09-25,CAD,CANADA,SAPUY US Equity,,,25655916.0,XTSE,,23.85189
SAP GR Equity,263294.0,ETF,4846288,SAP SE,2025-09-25,EUR,GERMANY,SAP US Equity,264.08,462838464.61538464,406390225.3731343,XETR,1.1389015673062053,262.13065
SBAC US Equity,28090.0,ETF,BZ6TS23,SBA Communications Corp,2025-09-25,USD,UNITED STATES,SBAC US Equity,,,218754430.6153846,XNGS,,195.43
SBER RM Equity,2557600.0,ETF,4767981,Sberbank of Russia PJSC,2025-09-25,RUB,RUSSIA,,,,,MISX,,
SBICARD IN Equity,60840.0,ETF,BKPFMG9,SBI Cards & Payment Services L,2025-09-25,INR,INDIA,,,,12599151.384615384,XNSE,,9.99522
SBILIFE IN Equity,113742.0,ETF,BZ60N32,SBI Life Insurance Co Ltd,2025-09-25,INR,INDIA,,,,21082385.584615383,XNSE,,20.39386
SBIN IN Equity,467944.0,ETF,BSQCB24,State Bank of India,2025-09-25,INR,INDIA,,,,89578905.23076923,XNSE,,9.70393
SBK SJ Equity,321806.0,ETF,B030GJ7,Standard Bank Group Ltd,2025-09-25,ZAr,SOUTH AFRICA,SGBLY US Equity,13.69,476564.16461538454,33960858.63636363,XJSE,0.01403274780882904,13.60656
SBRY LN Equity,486941.0,ETF,B019KW7,J Sainsbury PLC,2025-09-25,GBp,BRITAIN,JSAIY US Equity,18.056,460140.2246153846,19477761.833333332,XLON,0.02362387570772747,4.33251
SBSP3 BZ Equity,109611.0,ETF,B1YCHL8,Cia de Saneamento Basico do Es,2025-09-25,BRL,BRAZIL,SBS US Equity,24.44,24156539.215384614,61464918.20895522,BVMF,0.39301344440518743,24.18471
SBUX US Equity,286078.0,ETF,2842255,Starbucks Corp,2025-09-25,USD,UNITED STATES,SBUX US Equity,,,859210033.8461539,XNGS,,83.83
SCAB SS Equity,167346.0,ETF,B1VVGZ5,Svenska Cellulosa AB SCA,2025-09-25,SEK,SWEDEN,SCABY US Equity,13.38,7496.737727272728,13986910.373134328,XSTO,0.0005359823954883028,12.98646
SCC-R TB Equity,230000.0,ETF,6609928,Siam Cement PCL/The,2025-09-25,THB,THAILAND,,,,15050716.793650793,XBKK,,7.07152
SCCO US Equity,24005.0,ETF,2823777,Southern Copper Corp,2025-09-25,USD,UNITED STATES,SCCO US Equity,,,160366191.07692307,XNYS,,117.96
SCG AU Equity,1303568.0,ETF,BLZH0Z7,Scentre Group,2025-09-25,AUD,AUSTRALIA,,,,33090002.3880597,XASX,,2.65646
SCHN SW Equity,7012.0,ETF,B11WWH2,Schindler Holding AG,2025-09-25,CHF,SWITZERLAND,SHNDY US Equity,,,11022162.075757576,XSWX,,353.39659
SCHP SW Equity,8903.0,ETF,B11TCY0,Schindler Holding AG,2025-09-25,CHF,SWITZERLAND,,,,29401465.803030305,XSWX,,372.87711
SCHW US Equity,435186.0,ETF,2779397,Charles Schwab Corp/The,2025-09-25,USD,UNITED STATES,SCHW US Equity,,,857634127.6923077,XNYS,,94.78
SCI SP Equity,272400.0,ETF,B08X163,Sembcorp Industries Ltd,2025-09-25,SGD,SINGAPORE,,,,25679451.776119404,XSES,,4.65997
SCMN SW Equity,6444.0,ETF,5533976,Swisscom AG,2025-09-25,CHF,SWITZERLAND,SCMWY US Equity,72.715,771125.1969230769,38012227.42424242,XSWX,0.020286240748714695,719.90507
SDG MK Equity,336100.0,ETF,BF6RHY2,SD Guthrie Bhd,2025-09-25,MYR,MALAYSIA,,,,5148730.374193548,XKLS,,1.24688
SDR LN Equity,109858.0,ETF,BP9LHF2,Schroders PLC,2025-09-25,GBp,BRITAIN,,,,8621230.409090908,XLON,,4.93543
SDZ SW Equity,103487.0,ETF,BLPLD38,Sandoz Group AG,2025-09-25,CHF,SWITZERLAND,SDZNY US Equity,59.43,1325811.86,46333385.15151515,XSWX,0.028614612458477896,57.87962
SE US Equity,97411.0,ETF,BYWD7L4,Sea Ltd,2025-09-25,USD,SINGAPORE,SE US Equity,,,704751047.6923077,XNYS,,185.91
